submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/22/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/23/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/24/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/25/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/26/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/27/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/28/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/29/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/30/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/31/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/01/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/02/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/03/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/04/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/05/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/06/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/07/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/08/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/09/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/10/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/11/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/12/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/13/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/14/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/15/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/16/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/17/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/18/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/19/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/20/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/21/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/22/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/23/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/24/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/25/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/26/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/27/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/28/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/29/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/01/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/02/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/03/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/04/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/05/2020,CO,1,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/06/2020,CO,2,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/07/2020,CO,8,,,6,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/08/2020,CO,8,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/09/2020,CO,12,,,4,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/10/2020,CO,17,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/11/2020,CO,34,,,17,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/12/2020,CO,49,,,15,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/13/2020,CO,49,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/14/2020,CO,49,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/15/2020,CO,144,,,95,,1,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
03/16/2020,CO,160,,,16,,1,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/17/2020,CO,183,,,23,,2,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
03/18/2020,CO,216,,,33,,2,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/19/2020,CO,277,,,61,,2,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/20/2020,CO,363,,,86,,4,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
03/21/2020,CO,475,,,112,,5,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
03/22/2020,CO,591,,,116,,6,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
03/23/2020,CO,720,,,129,,7,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
03/24/2020,CO,921,,,201,,11,,,4,,03/26/2020 04:22:39 PM,Agree,Agree
03/25/2020,CO,"1,086",,,165,,19,,,8,,03/26/2020 04:22:39 PM,Agree,Agree
03/26/2020,CO,"1,430",,,344,,24,,,5,,03/26/2020 04:22:39 PM,Agree,Agree
03/27/2020,CO,"1,734",,,304,,31,,,7,,03/26/2020 04:22:39 PM,Agree,Agree
03/28/2020,CO,"2,061",,,327,,44,,,13,,03/28/2020 04:22:39 PM,Agree,Agree
03/29/2020,CO,"2,307",,,246,,47,,,3,,03/28/2020 04:22:39 PM,Agree,Agree
03/30/2020,CO,"2,627",,,320,,51,,,4,,03/29/2020 04:22:39 PM,Agree,Agree
03/31/2020,CO,"2,966",,,339,,69,,,18,,03/30/2020 04:22:39 PM,Agree,Agree
04/01/2020,CO,"3,342",,,376,,80,,,11,,03/31/2020 04:22:39 PM,Agree,Agree
04/02/2020,CO,"3,728",,,386,,97,,,17,,04/01/2020 04:22:39 PM,Agree,Agree
04/03/2020,CO,"4,173",,,445,,111,,,14,,04/03/2020 04:22:39 PM,Agree,Agree
04/04/2020,CO,"4,565",,,392,,126,,,15,,04/03/2020 04:22:39 PM,Agree,Agree
04/05/2020,CO,"4,950",,,385,,140,,,14,,04/04/2020 04:22:39 PM,Agree,Agree
04/06/2020,CO,"5,172",,,222,,150,,,10,,04/05/2020 04:22:39 PM,Agree,Agree
04/07/2020,CO,"5,429",,,257,,179,,,29,,04/07/2020 04:22:39 PM,Agree,Agree
04/08/2020,CO,"5,655",,,226,,193,,,14,,04/07/2020 04:22:39 PM,Agree,Agree
04/09/2020,CO,"6,202",,,547,,226,,,33,,04/08/2020 04:22:39 PM,Agree,Agree
04/10/2020,CO,"6,365",,,163,,250,,,24,,04/09/2020 04:22:39 PM,Agree,Agree
04/11/2020,CO,"6,893",,,528,,274,,,24,,04/10/2020 04:22:39 PM,Agree,Agree
04/12/2020,CO,"7,303",,,410,,290,,,16,,04/11/2020 04:22:39 PM,Agree,Agree
04/13/2020,CO,"7,691",,,388,,308,,,18,,04/12/2020 04:22:39 PM,Agree,Agree
04/14/2020,CO,"7,941",,,250,,329,,,21,,04/13/2020 04:22:39 PM,Agree,Agree
04/15/2020,CO,"8,280",,,339,,357,,,28,,04/15/2020 04:22:39 PM,Agree,Agree
04/16/2020,CO,"8,582","7,941",641,302,641,373,363,10,16,10,04/16/2020 04:22:39 PM,Agree,Agree
04/17/2020,CO,"9,047",,,465,,391,,,18,,04/17/2020 04:22:39 PM,Agree,Agree
04/18/2020,CO,"9,433",,,386,,411,,,20,,04/18/2020 04:22:39 PM,Agree,Agree
04/19/2020,CO,"9,634","8,915",719,201,719,421,408,13,10,13,04/19/2020 04:22:39 PM,Agree,Agree
04/20/2020,CO,"10,019","9,260",759,385,40,448,435,13,27,0,04/20/2020 04:22:39 PM,Agree,Agree
04/21/2020,CO,"10,368","9,536",832,349,73,485,471,14,37,1,04/21/2020 04:22:39 PM,Agree,Agree
04/22/2020,CO,"10,825","9,878",947,457,115,507,491,16,22,2,04/22/2020 04:22:39 PM,Agree,Agree
04/23/2020,CO,"11,182","10,208",974,357,27,551,526,25,44,9,05/25/2020 03:38:40 PM,Agree,Agree
04/24/2020,CO,"12,184","10,995","1,189","1,002",215,672,551,121,121,96,05/25/2020 03:38:40 PM,Agree,Agree
04/25/2020,CO,"12,868","11,533","1,335",684,146,670,564,106,-2,-15,05/25/2020 03:38:40 PM,Agree,Agree
04/26/2020,CO,"13,350","11,980","1,370",482,35,679,572,107,9,1,05/25/2020 03:38:40 PM,Agree,Agree
04/27/2020,CO,"13,798","12,374","1,424",448,54,706,595,111,27,4,05/25/2020 03:38:40 PM,Agree,Agree
04/28/2020,CO,"14,238","12,741","1,497",440,73,736,617,119,30,8,04/29/2020 06:12:08 PM,Agree,Agree
04/29/2020,CO,"14,675","13,148","1,527",437,30,766,642,124,30,5,04/30/2020 04:07:01 PM,Agree,Agree
04/30/2020,CO,"15,182","13,637","1,545",507,18,777,652,125,11,1,05/01/2020 09:00:19 PM,Agree,Agree
